Country-Name,Country-Code,Indicator-Name,Indicator-Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,
Arab World,ARB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,54.59347153,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,66.00606537,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,77.36458588,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,79.74420166,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,90.77303314,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,94.75167084,,,,,,,,,,,,
East Asia & Pacific,EAS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,82.05434418,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,91.61869049,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,95.10822296,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,95.56775665,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,97.21840668,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,98.79963684,,,,,,,,,,,,
Europe & Central Asia,ECS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,97.26078796,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.14584351,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,98.99758911,,,,,,,,,,,,
Euro area,EMU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,EUU,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High income,HIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,45.42024231,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,52.22107315,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,57.83716583,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,87.10163879,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,89.45039368,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,92.44799042,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,87.46382904,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,89.73644257,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,92.62431335,,,,,,,,,,,,
Least developed countries: UN classification,LDC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,45.83043289,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,53.41339874,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,60.56823349,,,,,,,,,,,,
Low income,LIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,46.02457809,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,52.69497299,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,56.57405472,,,,,,,,,,,,
Lower middle income,LMC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,58.59611893,67.331604,67.331604,67.331604,67.331604,67.331604,67.331604,67.331604,67.331604,67.331604,67.331604,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,73.91007996,,,,,,,,,,,,
Low & middle income,LMY,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,69.66971588,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,77.78213501,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,82.30508423,,,,,,,,,,,,
Middle East & North Africa,MEA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,58.49624252,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,70.40315247,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,80.75001526,,,,,,,,,,,,
Middle income,MIC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,71.37111664,79.700737,79.700737,79.700737,79.700737,79.700737,79.700737,79.700737,79.700737,79.700737,79.700737,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,84.3886795,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,56.03942871,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,68.02357483,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,78.43881226,,,,,,,,,,,,
North America,NAC,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Asia,SAS,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,46.48760223,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,58.0854187,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,66.69117737,,,,,,,,,,,,
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,56.9764061,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,60.87575531,,,,,,,,,,,,
